name,price,amount
Arctic Silver 5 High-Density Polysynthetic Silver,7.16,3.5
Thermal Grizzly Kryonaut,7.99,1.0
ARCTIC MX-4 2019 Edition,4.99,4.0
Thermal Grizzly Kryonaut Extreme,16.45,2.0
Prolimatech PK-Zero,230.0,600.0
Noctua NT-H2,12.95,3.5
ARCTIC MX-6,8.49,4.0
Noctua NT-H1,8.94,3.5
Corsair TM30,7.99,3.0
ARCTIC MX-6,6.79,2.0
Thermal Grizzly Kryonaut,17.59,5.5
Thermal Grizzly Conductonaut,12.47,1.0
Prolimatech PK-3 Nano Aluminum High-Grade,10.55,1.5
Gelid Solutions GC-Extreme,9.99,3.5
Noctua NT-H2,30.84,10.0
Prolimatech PK-3 Nano Aluminum High-Grade,50.72,30.0
Corsair XTM50,14.99,5.0
Thermal Grizzly Kryonaut,25.15,11.1
Thermaltake CL-O004-GROSGM-A,3.99,4.0
Prolimatech PK-3 Nano Aluminum High-Grade,25.21,5.0
Thermal Grizzly Hydronaut,7.99,3.9
ARCTIC MX-6,11.99,8.0
ARCTIC MX-4,,4.0
ARCTIC MX-4,38.99,20.0
Corsair XTM70,24.99,3.0
Arctic Silver 5 High-Density Polysynthetic Silver,20.99,12.0
Cooler Master HTK-002,8.9,0.01
Arctic Silver Ceramique 2 Tri-Linear,9.75,2.7
Cooler Master MasterGel Maker,17.98,1.5
ARCTIC MX-4,11.99,20.0
Cooler Master CryoFuze Violet,6.99,2.0
NZXT High-performance,29.98,15.0
ARCTIC MX-5,23.65,2.0
Cooler Master MasterGel Pro,26.5,1.5
ARCTIC MX-4 2019,7.89,8.0
Thermal Grizzly Aeronaut,9.78,3.9
"Innovation Cooling Diamond ""7 Carat""",10.99,1.5
Deepcool Z5,,3.0
StarTech HeatGrease,5.49,20.0
Prolimatech PK-Zero,95.92,300.0
Cooler Master IC ESSENTIAL E1,6.99,3.75
Thermaltake CL-O002-GROSGM-A,12.99,40.0
Coollaboratory Liquid Ultra,12.4,0.15
StarTech Metal Oxide,7.49,1.5
ARCTIC MX-2,,65.0
NZXT High-performance,,3.0
Cooler Master CryoFuze,6.99,2.0
ARCTIC MX-2 2019 Edition,7.99,4.0
ARCTIC MX-5,,4.0
Cooler Master IC ESSENTIAL E2,,3.5
Thermalright TF8,,2.0
Arctic Silver Ceramique 2 Tri-Linear,18.67,25.0
Thermalright TF8,,5.8
Deepcool Z3,,1.5
ARCTIC MX-2,,4.0
Prolimatech PK-2 Nano Aluminum High-Grade,9.54,1.5
Prolimatech PK-1,42.7,30.0
Thermalright TFX,,2.0
be quiet! DC1,,3.0
TUNIQ TX-4 Extreme Performance,12.99,1.0
Prolimatech PK-1,15.35,5.0
EVGA Frostbite 2,8.86,2.5
Cooler Master MasterGel Maker,17.99,1.5
Prolimatech PK-2 Nano Aluminum High-Grade,14.85,5.0
Prolimatech PK-2 Nano Aluminum High-Grade,39.33,30.0
Gelid Solutions GC-4,,10.0
Thermalright TF7,,2.0
Antec Formula 7 Nano Diamond,,4.0
ARCTIC MX-5 Incl. Spatula,,8.0
Masscool Stars-700,5.99,0.5
Thermaltake CL-O001-GROSGM-A,14.09,1.5
Cooler Master MasterGel Regular,11.99,1.5
Phanteks PH-NDC_02,9.98,2.0
Deepcool Z9,,3.0
NOX Thermal 880,,23.0
EK EK-TIM Ectotherm,20.8,5.0
Arctic Silver Arctic Alumina Premium Ceramic Polysynthetic,,14.0
Prolimatech PK-Zero,12.53,5.0
Prolimatech PK-1,,1.5
Antec 77064,,1.0
Thermaltake CLZ0022,,4.0
Innovation Cooling ICD24,,4.8
ARCTIC MX-2,,65.0
Akasa AK-TCW-03,,5.0
Gelid Solutions GC-4,,3.5
Gelid Solutions GC-Extreme,24.99,10.0
Cooler Master MasterGel Maker,,4.0
Arctic Silver Arctic Alumina Premium Ceramic Polysynthetic,,1.75
Zalman ZM-STG2,,3.5
ARCTIC MX-2,,30.0
Biostar TC-DIAMOND,,1.5
Sunbeam Iceberg TS-IB,,1.0
Cooler Master Extreme Fusion X1,,1.5
Rosewill RCX-TC001,8.0,5.0
Cooler Master IceFusion,,200.0
TUNIQ TX-2,,3.5
Xigmatek PTI-G4512,,4.0
TUNIQ TX-2 Extreme,,1.0
Arctic Silver Arctic Alumina,,5.0
Xigmatek Freezing Point G4718,,4.0
Thermene Graphene,,9.0
Xigmatek Freezing Point G4718,,4.0
CRYORIG CP5,,4.0
Thermalright Chill Factor 3,,4.0
Graphitene GTP-5,,3.5
ARCTIC MX-2,,30.0
Thermalright Silver King,,1.0
ARCTIC MX-5 Incl. Spatula,,2.0
ARCTIC MX-5,,8.0
ARCTIC MX-5,,20.0
Iceberg Thermal FUZEIce Plus,,3.5
Iceberg Thermal FUZEIce Plus,,7.0
Evercool STC-01,,4.0
Coollaboratory Liquid Pro,,0.15
Antec Formula 6 Nano Diamond,,4.0
Zalman ZM - STG1,,3.5
Cooler Master IceFusion,,40.0
Evercool TC-25,,25.0
Cooler Master ThermalFusion 400,,4.0
Gelid Solutions GC-Supreme,,7.0
Masscool G751 Shin-Etsu,,0.5
Masscool Fanner-420,,2.0
Rosewill RCX-TC090PRO,,20.0
Xigmatek PTI-G3606,,3.0
Thermaltake CL-O0028,,4.0
Syba CL-PTSL-COOL,,1.5
Sunbeam GI-1,,3.5
Evercool STC-02,,3.0
Logisys Z5,,3.0
Prolimatech PK-Zero,,1.5
Prolimatech PK-Zero,,30.0
CRYORIG CP15,,4.0
CRYORIG CP7,,4.0
Gelid Solutions GC-2,,7.0
Thermalright TFX,,6.2
ARCTIC MX-5 Incl. Spatula,,4.0
ARCTIC MX-5 Incl. Spatula,,20.0
Iceberg Thermal FUZEIce,,3.5
Iceberg Thermal FUZEIce,,7.0
Gelid Solutions GC-4,,1.0
Gelid Solutions GC-Extreme,,1.0
Gelid Solutions GC-Extreme,,3.5
Gelid Solutions GC-Extreme,,10.0
