name,price,resolutions,connection,focus_type,os,fov
Logitech BRIO Ultra HD Pro,119.99,"['4k', '1080p', '720p']",USB 3.2 Gen 1 Type-A,Auto,"['Windows', 'OS X', 'ChromeOS']",82.0
Insta360 Insta360 Link,299.99,"['4k', '1080p', '720p']",USB 2.0 Type-C,Auto,"['Windows', 'OS X']",79.5
Logitech C920 HD Pro,55.99,"['1080p', '720p']",USB 2.0 Type-A,Auto,"['Windows', 'OS X', 'ChromeOS', 'Android']",78.0
Razer Kiyo Pro Ultra,299.99,"['4k', '2k', '1080p', '720p']",USB 3.2 Gen 1 Type-A,Auto,['Windows'],82.0
Anker PowerConf C200,59.99,"['2k', '1080p', '720p']",USB 3.2 Gen 1 Type-C,Auto,"['Windows', 'OS X']",95.0
Logitech C922 Pro Stream HD,99.99,"['1080p', '720p']",USB 2.0 Type-A,Auto,"['Windows', 'OS X', 'ChromeOS', 'Android']",78.0
Logitech C270,29.99,['720p'],USB 2.0 Type-A,Fixed,"['Windows', 'OS X', 'ChromeOS', 'Android']",60.0
Razer Kiyo,69.99,"['1080p', '720p', '480p']",USB 2.0 Type-A,Auto,['Windows'],81.6
Elgato Facecam Premium,149.99,"['1080p', '720p']",USB 3.2 Gen 1 Type-A,Manual,"['Windows', 'OS X']",82.0
Logitech C920s HD Pro,69.98,"['1080p', '720p']",USB 2.0 Type-A,Auto,"['Windows', 'OS X', 'ChromeOS', 'Android']",78.0
Green Extreme T200,14.99,"['1080p', '720p', '480p']",USB 2.0 Type-A,Auto,"['Windows', 'OS X', 'Android']",65.0
Razer Kiyo Pro,94.99,"['1080p', '720p', '480p']",USB 3.2 Gen 1 Type-A,Auto,['Windows'],103.0
Avermedia PW513,100.99,"['4k', '1080p']",USB 3.2 Gen 1 Type-C,Fixed,"['Windows', 'OS X']",94.0
Logitech StreamCam,139.99,"['1080p', '720p']",USB 3.2 Gen 1 Type-C,Auto,"['Windows', 'OS X']",78.0
aoni A31,21.95,"['1080p', '720p', '480p']",USB 2.0 Type-A,Auto,"['Windows', 'OS X', 'Linux', 'ChromeOS', 'Android']",84.0
Logitech C925e,73.88,"['1080p', '720p']",USB 2.0 Type-A,Auto,"['Windows', 'OS X', 'Linux']",78.0
Logitech StreamCam,124.95,"['1080p', '720p']",USB 3.2 Gen 1 Type-C,Auto,"['Windows', 'OS X']",78.0
Anker B600 Video Bar,198.0,"['2k', '1080p', '720p']",USB 3.2 Gen 1 Type-C,Auto,"['Windows', 'OS X']",95.0
Wansview 106JD,19.98,['1080p'],USB 2.0 Type-A,Auto,"['Windows', 'OS X', 'Android']",60.0
Adesso Cybertrack H4,36.89,['1080p'],USB 2.0 Type-A,Manual,"['Windows', 'OS X']",78.0
Asus Webcam C3,44.99,['1080p'],USB 2.0 Type-A,,"['Windows', 'OS X', 'ChromeOS']",
Razer Kiyo X,54.99,"['1080p', '720p']",USB 2.0 Type-A,Auto,['Windows'],82.0
Adesso Cybertrack H6,68.83,['4k'],USB 2.0 Type-A,Fixed,"['Windows', 'OS X']",80.0
Adesso Cybertrack H2,19.99,['480p'],USB 2.0 Type-A,Fixed,"['Windows', 'OS X']",62.0
Logitech C910,139.99,"['1080p', '720p']",USB 2.0 Type-A,Auto,"['Windows', 'OS X']",78.0
Logitech StreamCam Plus,69.98,"['1080p', '720p', '480p']",USB 3.2 Gen 1 Type-C,Auto,"['Windows', 'OS X']",
Logitech C615 Portable,49.99,"['1080p', '720p']",USB 2.0 Type-A,Auto,"['Windows', 'OS X', 'ChromeOS', 'Android']",78.0
Logitech C930e,89.99,"['1080p', '720p']",USB 2.0 Type-A,Auto,"['Windows', 'OS X', 'ChromeOS']",90.0
Anker PowerConf C302,149.99,"['2k', '1080p', '720p']",USB 3.2 Gen 1 Type-C,Auto,"['Windows', 'OS X']",115.0
Elgato Facecam Pro,,"['4k', '1080p', '720p']",USB 3.2 Gen 1 Type-C,Auto,"['Windows', 'OS X']",90.0
Adesso CyberTrack H3,26.71,['720p'],USB 2.0 Type-A,Manual,"['Windows', 'OS X']",
Logitech C525,26.99,['720p'],USB 2.0 Type-A,Auto,"['Windows', 'OS X', 'ChromeOS', 'Android']",69.0
Anker PowerConf C300,99.99,"['1080p', '720p']",USB 3.2 Gen 1 Type-C,Auto,"['Windows', 'OS X']",115.0
Microsoft LifeCam HD-3000,24.02,['720p'],USB 2.0 Type-A,Fixed,"['Windows', 'OS X']",
Avermedia Live Streamer CAM 313,59.99,['1080p'],USB 2.0 Type-A,Fixed,"['Windows', 'OS X']",
Adesso Cybertrack H5,49.08,['1080p'],USB 2.0 Type-A,Auto,"['Windows', 'OS X']",80.0
Wansview 101JD,23.99,['1080p'],USB 2.0 Type-A,,"['Windows', 'OS X', 'Android']",90.0
Asus ROG EYE,,['1080p'],USB 2.0 Type-A,Auto,"['Windows', 'OS X']",
Logitech B525,49.99,"['1080p', '720p']",USB 2.0 Type-A,Auto,"['Windows', 'OS X']",69.0
VDO360 2SEE,96.42,"['1080p', '720p']",USB 2.0 Type-A,,"['Windows', 'OS X', 'Linux', 'Android']",75.0
Logitech C505,44.53,['720p'],USB 2.0 Type-A,Fixed,"['Windows', 'OS X', 'ChromeOS']",60.0
AUKEY PC-LM1,,"['1080p', '720p', '480p']",USB 2.0 Type-A,Manual,"['Windows', 'OS X', 'Android']",55.0
Green Extreme T300,34.95,"['1080p', '720p', '480p']",USB 2.0 Type-A,Auto,"['Windows', 'OS X', 'Android']",94.0
Avermedia PW315,99.97,['1080p'],USB 2.0 Type-A,Fixed,"['Windows', 'OS X', 'ChromeOS']",95.8
Logitech C310,39.99,['720p'],USB 2.0 Type-A,Fixed,"['Windows', 'OS X', 'ChromeOS', 'Android']",60.0
Creative Labs Live! Cam Sync 1080p,,"['1080p', '720p']",USB 2.0 Type-A,Auto,"['Windows', 'OS X']",77.0
Avermedia 4K UHD Webcam 510,,"['4k', '1080p', '720p', '480p']",USB 3.2 Gen 1 Type-C,,['Windows'],85.0
Microsoft LifeCam Studio,57.05,"['1080p', '720p']",USB 2.0 Type-A,Auto,"['Windows', 'OS X']",75.0
Logitech C505e,40.99,['720p'],USB 2.0 Type-A,Fixed,"['Windows', 'OS X', 'ChromeOS']",60.0
Microsoft LifeCam CinemaaFor Business,78.3,['720p'],USB 2.0 Type-A,Auto,"['Windows', 'OS X']",
Microsoft LifeCam HD-3000 L2,31.99,['720p'],USB 2.0 Type-A,Fixed,"['Windows', 'OS X']",
Avermedia PW310P,53.0,['1080p'],USB 2.0 Type-A,Auto,"['Windows', 'OS X', 'ChromeOS']",73.0
Microsoft Lifecam Cinema,,['720p'],USB 2.0 Type-A,Auto,['Windows'],73.0
Avermedia HD Webcam 310,,"['1080p', '720p', '480p']",USB 2.0 Type-A,Auto,"['Windows', 'OS X', 'Android']",
Green Extreme T1000,49.99,['1080p'],USB 2.0 Type-A,Auto,"['Windows', 'OS X']",120.0
Creative Labs Live! Cam Sync HD,,['720p'],USB 2.0 Type-A,Fixed,"['Windows', 'OS X']",
Adesso Cybertrack H4P,,['1080p'],USB 2.0 Type-A,Manual,"['Windows', 'OS X']",78.0
Green Extreme T200 + Live Streaming Bundle,,['1080p'],USB 2.0 Type-A,Auto,"['Windows', 'OS X', 'Android']",
Wansview 102JD,,['1080p'],USB 2.0 Type-A,,"['Windows', 'OS X', 'Android']",90.0
Wansview 105JD,,['1080p'],USB 2.0 Type-A,Manual,"['Windows', 'OS X', 'Android']",90.0
Creative Labs BlasterX Senz3D,,"['1080p', '720p']",USB 3.2 Gen 1 Type-A,Auto,['Windows'],77.0
Microsoft LifeCam Studio for Business,79.89,"['1080p', '720p']",USB 2.0 Type-A,Auto,"['Windows', 'OS X']",75.0
