name,price,interface,color
StarTech ST1000SPEX42,355.0,PCIe x4,
TP-Link TG-3468,14.99,PCIe x1,
Asus XG-C100C,89.36,PCIe x4,
TP-Link TX201,28.49,PCIe x1,Black / Gold
Intel X550-T2,280.0,PCIe x4,
Intel EXPI9301CTBLK,40.0,PCIe x1,
TP-Link TX401,99.99,PCIe x4,Red
Intel X520-DA1,109.51,PCIe x8,Green
Intel E1G44ET2BLK,392.21,PCIe x4,
Intel E1G42ETBLK,52.0,PCIe x4,
Intel X540-BT2,,PCIe x8,
Intel E10G42BT,,PCIe x8,
Gigabyte GC-AQC107,,PCIe x4,Black / White
TRENDnet TRENDnet TEG-10GECTX 10 Gigabit PCIe Network Adapter,85.49,PCIe x4,Green / Silver
Intel X710-T2L,323.28,PCIe x8,Green / Black
TP-Link UE300,12.99,USB Type-A 3.2 Gen 1,
Intel EXPI9404PTLBLK-1PK,,PCIe x4,
Intel E1G44HTBLK,100.0,PCIe x4,
Belkin F5D5000,9.31,PCI,
Syba SI-PEX24042,61.97,PCIe x1,Green / Black
Intel EXPI9301CT,39.0,PCIe x1,
TRENDnet TEG-25GECTX,26.99,PCIe x1,Blue
Syba SD-PEX24009,16.39,PCIe x1,
Intel EXPI9402PTG2P20,69.61,PCIe x4,Green / Black
QNAP QXG-10G1T,184.99,PCIe x4,
TRENDnet TUC-ET2G,26.99,USB Type-C 3.2 Gen 1,Black
StarTech ST2000PEXPSE,164.56,PCIe x1,
QNAP QXG5G1T111C,69.0,PCIe x1,Blue / Silver
Intel EXPI9404PTLBLK,,PCIe x4,
Syba SY-PEX24028,39.99,PCIe x1,
EDUP EP-9602GS,,PCIe x1,Black
QNAP QXG-2G1T-I225,56.27,PCIe x1,Green / Silver
Supermicro AOC-STG-i2T,369.0,PCIe x8,
Linksys USB3GIG,84.99,USB Type-A 3.2 Gen 1,Black
Intel X520-T2,,PCIe x8,Green / Black
Syba SD-PEX24055,89.99,PCIe x4,Green / Black
Intel E1G44HT,160.0,PCIe x4,
D-Link DXE-820T,,PCIe x8,
Intel E1G44ET2,,PCIe x4,
D-Link DUB-E100,43.71,USB Type-A 2.0,
StarTech USB32000SPT,58.42,USB Type-A 3.2 Gen 1,
StarTech ST1000SPEX2,17.95,PCIe x1,
QLogic QLE3242-CU-CK,,PCIe x8,
StarTech ST1000SPEX2L,25.89,PCIe x1,
Rosewill RNG-408U,13.47,USB Type-C 3.2 Gen 1,Black
StarTech ST1000SPEX4,322.34,PCIe x4,
Edimax EU-4208,10.99,USB Type-A 2.0,
StarTech USB31000SPTW,29.35,USB Type-A 3.2 Gen 1,
Edimax EU-4306,,USB Type-A 3.2 Gen 1,
StarTech ST10000SPEX,,PCIe x4,
StarTech PEX100S,19.14,PCIe x1,
Syba SY-HUB24047,45.99,USB Type-A 3.2 Gen 1,Black
StarTech ST1000SPEXD2,32.12,PCIe x1,
Intel EXPI9402PT,,PCIe x4,
Lenovo 7ZT7A00482,126.55,PCIe x1,Green / Black
D-Link DFE530TX+,9.93,PCI,
StarTech USB31000S,19.23,USB Type-A 3.2 Gen 1,
StarTech ST1000BT32,15.95,PCI,
Syba SY-ADA24029,12.99,USB Type-A 2.0,
Gigabyte GC-AQC113C 10G,,PCIe x4,White / Silver
Netgear GA311,15.0,PCI,
StarTech USB31000SW,25.15,USB Type-A 3.2 Gen 1,
Tripp Lite U436-000-GB,31.12,USB Type-C 3.2 Gen 1,Black
Intel EXPI9404PTL,,PCIe x4,
StarTech ST3300U3S,46.44,USB Type-A 3.2 Gen 1,
Belkin B2B145-BLK,29.99,USB Type-C 3.2 Gen 1,Black
Intel E1G42ET,,PCIe x4,
Acer NP.OTH11.005,,USB Type-A 2.0,
Rosewill RC-411,,PCIe x1,
Rosewill RNG-407-Dual,,PCIe x1,
StarTech USB31000NDS,31.99,USB Type-A 3.2 Gen 1,
Rosewill RC-NIC416Dual,,PCIe x4,Black / Silver
SIIG JU-NE0621-S2,,USB Type-A 3.2 Gen 1,White
Rosewill RC-404,14.5,PCI,
D-Link DGE-530T,19.98,PCI,
TP-Link TF-3239DL,34.99,PCI,
Lenovo 4X90E51405,29.96,USB Type-A 3.2 Gen 1,
StarTech USB21000S2,,USB Type-A 2.0,
Syba SY-PEX24030,22.65,PCIe x1,
Plugable USB3-E1000,16.95,USB Type-A 3.2 Gen 1,
Plugable USBC-E1000,18.95,USB Type-C 3.2 Gen 1,
D-Link DUB-1312,34.43,USB Type-A 3.2 Gen 1,Black
Rosewill RNG-406U,,USB Type-A 3.2 Gen 1,
StarTech ST100S,,PCI,
Supermicro AOC-SG-i2,,PCIe x4,
Syba SY-ADA24027,,USB Type-A 2.0,
SIIG CN-GP4011-S1,,PCIe x4,
StarTech ST1000SPEXD3,,PCIe x1,
Edimax EN-9130TXL,,PCI,
Syba SY-PEX24045,,PCIe x4,Green / Black
V7 V7UCRJ45-BLK-1N,23.99,USB Type-C 3.2 Gen 1,Black
Belkin F2CU040btBLK,25.98,USB Type-C 3.2 Gen 1,
SIIG CN-GP1021-S3,33.2,PCIe x1,
Intel PWLA8492MT,101.99,PCI-X,
Intel PWLA8391GT,45.0,PCI,
Intel PWLA8391GTBLK,45.0,PCI,
SIIG CN-GP1011-S3,29.99,PCI,
Intel PWLA8391GTLBLK,49.5,PCI,
Intel PWLA8492MTBLK5,,PCI-X,
TRENDnet TEG-PCITXR,22.74,PCI,
SIIG CN-GP2011-S1,,PCIe x1,
StarTech USB31000SPTB,32.68,USB Type-A 3.2 Gen 1,
SIIG JU-NE0711-S1,24.47,USB Type-A 3.2 Gen 1,Black
Rosewill RC-400,,PCI,
Rosewill RNF-405U,,USB Type-A 2.0,
Syba SY-ADA24024,,USB Type-A 2.0,
TRENDnet TE100-PCIWN,,PCI,
Intel EXPI9402PTBLK-1PK,,PCIe x4,
Intel PWLA8391GTBLK-1PK,,PCI,
Intel PWLA8490MTBLK,,PCI-X,
Rosewill RC-400-LX,,PCI,
Syba SY-ADA24005,,USB Type-A 2.0,
StarTech ST1000SPEX,,PCIe x1,
Asus NX1101,,PCI,
Belkin F4U047-RS,,USB Type-A 2.0,
Rosewill RC-401-EX,,PCIe x1,
Rosewill RC-402,,PCI,
VisionTek Bigfoot Killer 2100,,PCIe x1,
Syba SD-ADA24032,,USB Type-A 3.2 Gen 1,
TP-Link TG-3269,,PCI,
Cisco N2XX-ABPCI03-M3=,,PCIe x4,
SIIG JU-NE0511-S1,,USB Type-A 3.2 Gen 1,
Syba SI-ADA24037,,USB Type-A 3.2 Gen 1,
SIIG CN-GP1111-S1,,PCIe x4,
SIIG CN-GP4111-S1,,PCIe x4,
Syba SY-ADA24040,,USB Type-A 3.2 Gen 1,
Syba SY-PEX24056,,PCIe x4,Green / Black
Supermicro SGP-i4,217.99,PCIe x4,Green / Silver
Edimax EN-9320TX-E,,PCIe x4,Silver / Green
